"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"873",0.3,0.266666666666667,0.85,0.17,0.053,56.4921168459837,0.06,0.014,0.017,0,0.17,0.1,0.26,0.7345,0.55,0.41,6.29,10.7,21.8,6.29,10.7,21.8,0,0.03,0,2350,472.81,1053.93,1582.35,0.8,0.8,0.016,18541051.4328851,119.374399627176,155318.489481761
"874",0.3,0.271428571428571,0.74,0.8,0.047,45.9834516769833,0.07,0.072,0.049,0,0.17,0.12,0.14,0.787,0.7,0.29,6.29,16.2,20.3,6.29,16.2,20.3,0,0,0,650,672.81,1153.93,2082.35,0.85,0.8,0.019,5230372.11228847,457.617317091677,11429.5764538138
"875",1,0.2,0.1,0.25,0.045,100.647412780846,0.07,0.067,0.096,0,0.45,0.43,0.26,0.21,0.21,0,5.79,15.2,21.3,5.79,15.2,21.3,0.03,0.03,0,550,422.81,953.93,1132.35,0.85,0.7,0.014,4431626.94835257,11.95890898487,370571.174507582
"876",0.3,0.153846153846154,0.16,0.6,0.054,107.506574243514,0.065,0.053,0.053,0,0.34,0.14,0.22,0.896,0.8,0.48,6.79,15.2,31.3,6.79,15.2,31.3,0.03,0.06,0,2000,622.81,1003.93,2032.35,0.8,0.85,0.01,14775359.4147912,230.566732856587,64082.7895322674
"877",0.1,0.25,0.4,0.07,0.052,64.9634704172435,0.06,0.01,0.005,0,0.41,0.24,0.24,0.494,0.45,0.08,6.79,12.7,23.3,6.79,12.7,23.3,0.03,0,0,1200,672.81,653.93,1782.35,0.9,0.75,0.015,10252055.9824356,79.1462324593617,129533.089117029
"878",0.7,0.2,0.16,0.78,0.049,44.0499825213413,0.05,0.01,0.04,0,0.18,0.21,0.48,0.37,0.16,0.25,6.29,15.2,39.3,6.29,15.2,39.3,0.03,0,0,2250,622.81,603.93,1082.35,0.9,0.85,0.01,19685522.2443715,138.414437754527,142221.595981794
"879",0.3,0.257142857142857,0.11,0.89,0.055,54.2273786302006,0.07,0.024,0.079,0,0.42,0.28,0.38,0.5608,0.39,0.28,6.79,17.2,34.8,6.79,17.2,34.8,0,0.03,0,1450,622.81,1253.93,1282.35,1,0.75,0.018,11383787.3835934,723.426714918358,15735.9234167598
"880",0.5,0.266666666666667,0.36,0.01,0.05,40.8479882305413,0.06,0.019,0.058,0,0.47,0.12,0.23,0.6315,0.33,0.45,5.79,8.2,33.3,5.79,8.2,33.3,0.03,0.06,0,2050,472.81,853.93,1832.35,0.85,0.7,0.016,15219696.4964847,46.0752172838143,330322.837171539
"881",0.1,0.271428571428571,0.3,0.03,0.047,87.2935722306549,0.07,0.045,0.099,0,0.21,0.46,0.35,0.9109,0.89,0.19,6.29,19.2,25.3,6.29,19.2,25.3,0,0.06,0,2500,522.81,953.93,1282.35,0.95,0.75,0.019,18723050.9685339,60.4396059559581,309781.155459174
"882",0.1,0.25,0.63,0.63,0.05,32.3547403056062,0.06,0.007,0.019,0,0.21,0.14,0.49,0.748,0.55,0.44,6.29,17.2,23.8,6.29,17.2,23.8,0.06,0,0,1100,572.81,1003.93,1532.35,0.9,0.75,0.015,9472884.6571987,508.637322177142,18624.0455510648
"883",0.6,0.215384615384615,0.33,0.29,0.046,61.4192604639176,0.065,0.052,0.098,0,0.47,0.29,0.31,0.6889,0.49,0.39,6.79,21.2,25.8,6.79,21.2,25.8,0.03,0.06,0,700,522.81,1153.93,1032.35,1,0.65,0.014,5090005.60518943,217.577862565061,23393.9498494126
