"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"1154",0.2,0.345679012345679,0.19,0.01,0.032,52.520476782729,0.081,0.235,0.072,0,0.21,0.25,0.23,0.505,0.34,0.25,6.29,23.7,24.8,6.29,23.7,24.8,0.06,0.03,0,600,472.81,803.93,1082.35,0.75,0.8,0.028,4646830.05478741,23.230741005947,200029.351349482
"1155",0.6,0.321428571428571,0.21,0.3,0.028,49.8077871083199,0.084,0.225,0.028,0,0.39,0.14,0.46,0.6535,0.55,0.23,6.79,16.7,30.8,6.79,16.7,30.8,0.03,0,0,1100,672.81,603.93,1932.35,0.9,0.65,0.027,9575453.75203391,218.491529076407,43825.2860077031
"1156",0.1,0.333333333333333,0.48,0.15,0.027,41.5164102734808,0.081,0.24,0.055,0,0.37,0.22,0.13,0.712,0.6,0.28,6.29,10.7,39.3,6.29,10.7,39.3,0.06,0.03,0,2450,622.81,1003.93,2082.35,0.85,0.85,0.027,20420694.3469204,115.180185168252,177293.466902231
"1157",0.2,0.357142857142857,0.84,0.64,0.033,71.733860870071,0.084,0.244,0.096,0,0.42,0.15,0.22,0.7952,0.68,0.36,6.29,18.7,33.3,6.29,18.7,33.3,0.06,0,0,1750,522.81,1203.93,1732.35,0.75,0.7,0.03,14442939.0656344,514.158284603364,28090.4528782922
"1158",0.5,0.285714285714286,0.21,0.76,0.026,79.1433346989424,0.077,0.162,0.075,0,0.18,0.41,0.18,0.5105,0.11,0.45,5.79,20.7,22.8,5.79,20.7,22.8,0,0.06,0,2100,522.81,903.93,1682.35,0.75,0.75,0.022,16418986.5053338,357.020615213296,45988.9031772705
"1159",0.9,0.280487804878049,0.83,0.29,0.031,64.0523766879437,0.082,0.22,0.032,0,0.12,0.5,0.14,0.802,0.78,0.1,5.79,10.2,32.3,5.79,10.2,32.3,0.06,0,0,1050,422.81,1003.93,2082.35,0.9,0.75,0.023,7667365.75155155,176.784553022771,43371.242681842
"1160",0.1,0.381578947368421,0.16,0.13,0.035,42.5557631689201,0.076,0.207,0.083,0,0.25,0.43,0.32,0.6804,0.66,0.06,5.79,10.2,38.8,5.79,10.2,38.8,0,0.06,0,1300,372.81,803.93,2082.35,0.95,0.75,0.029,9756081.75527142,174.80508727031,55811.2003924984
"1161",0.4,0.3625,0.41,0.81,0.026,65.2834779669228,0.08,0.164,0.018,0,0.24,0.16,0.24,0.8768,0.78,0.44,6.29,8.2,35.3,6.29,8.2,35.3,0.03,0.06,0,2150,672.81,703.93,1582.35,0.95,0.7,0.029,16577004.5538455,670.335955339821,24729.3978814577
"1162",0.1,0.291139240506329,0.81,0.57,0.026,76.0502213602285,0.079,0.235,0.014,0,0.31,0.27,0.17,0.385,0.25,0.18,6.29,19.2,38.8,6.29,19.2,38.8,0.06,0.03,0,750,372.81,703.93,1732.35,0.85,0.75,0.023,6624605.00795213,402.605734384847,16454.323528387
"1163",0.4,0.298701298701299,0.3,0.75,0.028,22.8541195393795,0.077,0.236,0.025,0,0.39,0.16,0.42,0.8208,0.72,0.36,6.79,11.7,28.8,6.79,11.7,28.8,0.06,0.03,0,550,522.81,1103.93,1832.35,0.95,0.75,0.023,4177774.29464752,490.020711091337,8525.7096283606
