"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"2385",0.6,0.7,0.57,0.66,0.062,118.587285335234,0.07,0.029,0.091,0,0.39,0.29,0.22,0.8688,0.59,0.68,6.29,17.2,36.8,6.29,17.2,36.8,0.03,0.03,10,900,372.81,1003.93,1182.35,0.75,0.75,0.049,9398543.08971807,791.854719943407,11869.0245230713
"2386",0.9,0.433333333333333,0.66,0.21,0.093,45.6808561171589,0.06,0.077,0.048,0,0.37,0.3,0.22,0.7377,0.39,0.57,5.79,22.7,22.8,5.79,22.7,22.8,0.03,0,60,1750,472.81,1053.93,1232.35,0.9,0.75,0.026,20219687.4023065,367.443570545748,55028.0070822169
"2387",0.1,0.211111111111111,0.69,0.36,0.095,75.9622987722982,0.09,0.022,0.041,0,0.15,0.17,0.34,0.9286,0.79,0.66,6.29,17.7,39.3,6.29,17.7,39.3,0,0.03,100,1750,472.81,953.93,1932.35,0.8,0.7,0.019,9814654.66195068,555.229594380565,17676.7498729967
"2388",0.4,0.65,0.57,0.04,0.144,35.3145250404519,0.04,0.086,0.048,0,0.32,0.12,0.41,0.664,0.4,0.44,6.79,10.2,37.3,6.79,10.2,37.3,0.03,0,140,1000,572.81,953.93,2132.35,0.95,0.8,0.026,9338550.12899098,126.720175446868,73694.2645167539
"2389",0.7,1.56666666666667,0.52,0.14,0.177,37.0327091888016,0.03,0.054,0.043,0,0.41,0.11,0.48,0.7438,0.58,0.39,6.79,23.2,36.3,6.79,23.2,36.3,0.06,0,30,900,572.81,853.93,1632.35,0.8,0.7,0.047,6719838.00557989,213.449078846095,31482.1597821237
"2390",0.6,1.1,0.04,0.09,0.034,38.8333010184847,0.03,0.082,0.028,0,0.4,0.18,0.2,0.8504,0.56,0.66,6.29,23.2,25.8,6.29,23.2,25.8,0.06,0.06,50,1850,522.81,603.93,1082.35,0.75,0.8,0.033,22186194.8832356,225.909067250608,98208.5188224151
"2391",0.5,1.15,0.74,0.24,0.15,59.3474856420378,0.04,0.058,0.017,0,0.46,0.42,0.18,0.7516,0.64,0.31,6.79,24.2,22.8,6.79,24.2,22.8,0.03,0,100,1050,472.81,1203.93,1182.35,0.75,0.8,0.046,6997902.51380105,405.246465317383,17268.2629281428
"2392",0.1,1.46666666666667,0.42,0.31,0.158,65.098320951389,0.03,0.027,0.033,0,0.29,0.13,0.1,0.883,0.55,0.74,6.29,23.2,30.8,6.29,23.2,30.8,0.06,0,160,1600,572.81,653.93,1382.35,0.9,0.7,0.044,4729913.04774802,402.154073009512,11761.4450908126
"2393",0.6,0.488888888888889,0.79,0.13,0.117,39.4997020899735,0.09,0.091,0.05,0,0.43,0.33,0.37,0.8525,0.75,0.41,5.79,24.2,40.8,5.79,24.2,40.8,0.03,0.03,190,850,622.81,903.93,1082.35,0.95,0.7,0.044,6414537.56686032,750.01014825004,8552.60103056876
"2394",0.3,0.2,0.2,0.64,0.035,106.816028884527,0.04,0.043,0.055,0,0.32,0.27,0.21,0.838,0.7,0.46,5.79,8.2,38.3,5.79,8.2,38.3,0,0,80,1050,422.81,1053.93,1732.35,0.8,0.65,0.008,1879499.10903378,1120.09427566245,1677.98296078444
